"N","Camisa","Nome","InStat Index","Partidas jogadas","Minutos jogados","Escalações no time titular","Substituído","Substituindo","Gols","Assistências","Impedimentos","Cartões amarelos","Cartões vermelhos","Chutes","Chutes/gol","Pênalti","Pênaltis convertidos","Cobranças de pênalti convertidas, %","Passes","% de precisão dos passes","Passes chave","Cruzamentos","% de precisão nos cruzamentos","Bolas perdidas","Bolas perdidas / no próprio campo","Bolas recuperadas","Bolas recuperadas no campo do adversário","xG (Gols esperados)","Disputas","% disputas ganhas","Disputas no ataque","Disputas aéreas","% disputas aéreas ganhas","Dribles","Desarmes","Interceptações","Rebotes"
"143",19,"Jack Alexander Price","251",17,"1505","15","1","2","0","4","1","4","1","7","3","0","0","0","1184","88%","8","12","33%","75","19","77","18","0.14","144","53%","51","21","43%","20","45","66","103"
"144",23,"Chris Mavinga","251",21,"1851","19","3","2","0","1","0","1","0","1","1","0","0","0","1029","93%","1","0","0","46","18","161","18","0.22","210","68%","49","64","55%","19","53","146","132"
"145",2,"Victor Wanyama","251",22,"2142","22","0","0","2","1","1","3","0","17","8","0","0","0","1174","87%","6","3","0","102","22","116","41","1.6","308","63%","131","43","53%","55","84","116","133"
"146",6,"F. Meza","251",13,"1158","13","3","0","0","0","1","2","0","2","1","0","0","0","823","93%","2","1","0","32","13","100","11","0.19","140","64%","25","61","69%","8","17","75","61"
"147",13,"Dario Zuparic","251",24,"2276","23","0","1","1","1","1","2","1","5","5","1","1","100%","955","86%","2","1","0","75","30","158","12","1.61","233","65%","41","92","58%","13","45","145","152"
"148",2,"Kendall Waston","251",18,"1753","18","1","0","0","0","1","5","0","8","2","1","0","0","967","88%","2","0","0","59","27","137","21","0.83","187","75%","35","76","86%","7","32","136","99"
"149",18,"J. Cascante","251",5,"438","4","0","1","1","0","0","0","0","4","2","0","0","0","139","83%","0","0","0","14","2","31","6","0.7","60","73%","15","29","72%","3","14","30","17"
"150",3,"Jack Elliott","251",20,"1322","12","0","8","1","0","1","2","0","9","6","0","0","0","629","83%","3","1","0","71","18","119","23","0.73","179","60%","44","53","57%","8","54","105","88"
"151",13,"Derek Cornelius","251",14,"1221","12","0","2","0","0","0","3","0","5","1","1","0","0","515","86%","2","0","0","50","24","72","3","0.55","113","71%","19","46","76%","5","30","82","50"
"152",22,"Winston Reid","250",12,"1006","10","1","2","1","0","0","3","0","4","2","0","0","0","437","83%","1","0","0","45","15","85","12","1.13","120","62%","31","56","63%","2","12","80","65"
"153",44,"O. González","250",25,"2236","23","2","2","0","0","2","3","0","8","2","0","0","0","1114","88%","0","0","0","73","22","150","29","1.2","215","69%","50","112","66%","4","29","124","128"
"154",21,"M. Barrios","250",23,"1867","19","11","4","1","3","2","5","0","35","11","0","0","0","616","71%","36","76","25%","158","22","40","17","3.6","294","40%","198","51","29%","71","55","38","88"
"155",94,"J. Murillo","250",6,"518","6","2","0","0","1","0","1","0","1","0","0","0","0","286","82%","1","1","0","27","8","55","6","0.22","67","57%","7","19","63%","3","22","41","48"
"156",22,"T. Thompson","250",23,"1346","15","11","8","1","2","2","2","0","8","5","0","0","0","764","90%","9","14","14%","61","18","78","12","0.76","196","55%","82","25","44%","47","51","63","99"
"157",6,"Kyle Duncan","250",24,"2152","22","2","2","3","2","1","4","0","14","4","0","0","0","1227","77%","13","58","28%","189","45","169","41","0.78","445","58%","210","113","73%","99","87","182","178"
"158",33,"L. Mabiala","249",22,"1960","20","1","2","2","0","0","5","0","6","4","0","0","0","868","88%","3","0","0","64","28","145","16","1.34","190","68%","43","76","68%","5","35","148","117"
"159",5,"Francisco Calvo","249",22,"2068","22","1","0","1","1","2","6","1","9","4","0","0","0","1344","85%","9","2","0","88","22","186","19","1.11","318","58%","61","100","51%","17","58","174","140"
"160",11,"Junior Urso","249",27,"2141","22","8","5","4","3","0","4","0","30","13","1","1","100%","913","89%","14","2","100%","102","38","74","22","3.5","305","51%","148","54","56%","41","92","64","106"
"161",13,"Mohammed Mounir","249",14,"748","4","1","10","1","1","1","3","0","10","2","0","0","0","533","81%","10","20","15%","61","8","58","11","0.44","159","48%","58","23","48%","38","45","56","69"
"162",10,"R. Pizarro","249",20,"1829","18","2","2","4","4","7","4","0","30","11","0","0","0","688","81%","14","32","34%","191","36","28","11","4.9","364","39%","288","32","28%","119","33","37","81"
"163",17,"S. Lletget","249",21,"1754","19","13","2","6","3","4","1","0","32","17","0","0","0","781","84%","18","30","20%","140","26","49","24","5.8","304","39%","218","62","24%","56","43","53","88"
"164",27,"Tristan Blackmon","249",17,"1349","14","3","3","0","0","0","2","0","4","1","0","0","0","734","83%","8","13","23%","85","22","116","16","1.26","183","62%","77","47","60%","34","35","115","110"
"165",16,"James Sands","249",18,"1721","18","4","0","0","1","0","7","0","9","0","0","0","0","977","91%","3","0","0","67","28","106","33","1.54","237","57%","81","64","48%","19","49","121","109"
"166",27,"M. López","249",14,"1159","12","4","2","2","1","0","2","0","6","4","0","0","0","663","77%","10","38","29%","84","21","70","15","0.19","185","61%","71","37","62%","36","32","74","62"
"167",26,"Leandro Martin Pirez","248",16,"1561","16","0","0","2","1","1","8","0","9","6","0","0","0","711","86%","0","1","100%","65","23","113","15","1.91","218","60%","54","69","61%","16","36","79","99"
"168",10,"M. Moralez","248",16,"1182","11","5","5","2","5","4","1","0","15","7","1","0","0","800","79%","20","30","27%","140","17","19","12","1.56","205","39%","115","32","19%","28","48","30","77"
"169",8,"Damir Kreilach","248",22,"1971","21","5","1","9","1","4","4","0","45","22","0","0","0","864","86%","9","6","33%","170","28","50","16","6","363","41%","241","193","45%","16","52","48","83"
"170",19,"M. Valenzuela","248",24,"2030","22","6","2","0","4","1","4","0","11","2","0","0","0","1163","81%","13","45","29%","148","33","108","22","0.47","268","51%","77","60","37%","35","89","98","117"
"171",21,"Anthony Fontana","248",18,"592","5","5","13","6","0","0","4","0","18","14","0","0","0","177","81%","5","5","20%","46","8","14","6","2.6","114","38%","61","8","25%","28","40","13","39"
"172",52,"B. Galván","248",10,"285","2","2","8","1","1","0","0","0","9","2","0","0","0","134","84%","4","10","50%","18","2","6","3","1.14","39","44%","27","3","0","17","7","5","20"
"173",4,"F. Kessler","248",26,"2352","23","0","3","1","0","0","2","0","13","5","0","0","0","1099","88%","0","3","33%","81","32","237","30","1.59","314","68%","54","128","62%","14","63","206","151"
"174",28,"Alexander Buttner","247",18,"1422","16","7","2","0","3","0","0","0","14","1","0","0","0","892","80%","13","57","35%","118","23","85","16","0.41","227","60%","102","35","57%","53","52","97","99"
"175",7,"Rod Fanni","247",14,"1204","12","2","2","0","0","0","0","0","2","0","0","0","0","542","89%","1","0","0","37","12","109","8","0.15","115","77%","30","37","65%","15","20","90","62"
"176",2,"Jordan Harvey","247",14,"897","9","3","5","0","0","0","4","0","3","2","1","0","0","544","85%","6","20","30%","46","12","69","15","0.21","104","59%","24","40","60%","2","19","59","61"
"177",8,"Marky Delgado","247",20,"1624","19","9","1","0","1","1","1","0","12","5","0","0","0","1169","87%","7","13","38%","118","24","91","27","0.58","200","47%","94","23","48%","31","61","93","141"
"178",15,"Justen Glad","247",18,"1468","15","3","3","1","0","2","6","0","5","2","0","0","0","870","85%","4","15","33%","85","24","113","17","0.51","243","54%","56","87","59%","16","59","107","88"
"179",5,"Jorge Nicolia Figal","247",22,"1994","22","4","0","0","0","1","4","0","18","7","0","0","0","1083","85%","6","11","55%","113","26","155","27","1.36","267","62%","103","60","57%","52","61","114","150"
"180",14,"J. Yueill","247",24,"2323","24","0","0","1","2","0","6","1","20","9","1","0","0","1454","90%","20","4","0","106","26","84","22","2.1","234","52%","89","28","29%","40","66","53","116"
"181",2,"F. Escobar","247",16,"1493","16","2","0","0","1","0","7","1","7","0","0","0","0","952","86%","3","19","26%","106","31","104","15","0.41","262","59%","103","55","36%","44","68","85","102"
"182",15,"Brandon Bye","247",25,"1918","19","5","6","0","1","2","2","0","10","1","0","0","0","1099","78%","18","77","26%","183","47","130","37","1.28","396","60%","195","158","68%","64","64","115","125"
"183",99,"Andre Shinyashiki","247",16,"1151","14","11","2","4","0","3","2","0","30","18","0","0","0","413","79%","16","17","18%","124","26","32","10","3.2","234","39%","157","40","40%","58","41","37","44"
"184",18,"Jeremy Kelly","247",8,"268","2","2","6","0","1","0","0","0","1","0","0","0","0","193","92%","2","2","50%","8","2","20","8","0.07000000000000001","30","53%","13","3","33%","9","8","18","24"
"185",17,"Tajon Buchanan","247",28,"1552","16","9","12","3","2","8","1","0","35","17","0","0","0","499","76%","17","43","30%","160","17","61","15","4.1","365","45%","252","71","42%","114","50","51","86"
"186",11,"D. Rubio","246",17,"1204","13","7","4","3","3","5","3","0","24","9","0","0","0","417","79%","15","6","33%","124","19","23","14","2.3","247","44%","198","90","44%","41","18","40","34"
"187",19,"A. Mlinar","246",6,"444","5","1","1","0","0","0","0","0","1","0","0","0","0","162","90%","0","0","0","5","3","29","4","0.05","52","77%","4","17","71%","0","14","26","18"
"188",2,"Keegan Rosenberry","246",18,"1559","17","4","1","1","1","1","0","0","11","6","0","0","0","947","87%","6","28","25%","82","29","140","28","0.38","188","63%","45","48","77%","19","50","117","123"
"189",36,"Victor Cabrera","246",10,"708","8","4","2","0","0","0","1","0","3","1","0","0","0","416","85%","1","0","0","41","12","72","8","0.33","100","67%","19","41","63%","7","24","66","46"
"190",15,"Sean Nealis","246",6,"484","5","1","1","0","0","0","2","0","1","0","0","0","0","198","86%","2","1","100%","19","4","57","9","0.25","64","67%","13","25","64%","2","12","53","38"
"191",8,"Ezequiel Omar Barco","246",15,"1126","11","4","4","2","2","2","3","0","27","15","1","0","0","586","85%","11","5","40%","88","11","20","10","3.2","137","49%","108","7","43%","49","17","15","57"
"192",16,"A. Roldan","246",22,"979","7","4","15","0","1","0","2","0","3","0","0","0","0","576","80%","11","42","21%","66","21","51","11","0.22","160","57%","60","25","40%","24","56","48","66"
"193",30,"Aboubacar Kobele Keita","246",12,"1123","11","1","1","0","0","1","1","0","0","0","0","0","0","607","91%","1","0","0","38","15","64","7","0","110","67%","27","37","65%","8","19","56","44"
"194",4,"Michael Bradley","245",14,"1362","13","0","1","0","0","0","2","0","7","2","0","0","0","1142","91%","4","2","0","62","19","86","36","0.5","125","50%","43","11","45%","19","55","75","111"
"195",6,"Haris Medunjanin","245",22,"1970","20","2","2","1","2","0","2","0","10","2","0","0","0","1515","86%","16","15","27%","124","23","84","26","0.39","146","55%","36","17","82%","16","66","76","99"
"196",23,"Florian Jungwirth","245",21,"1842","19","2","2","0","0","0","5","0","4","1","0","0","0","1109","91%","0","1","0","62","25","159","20","1.07","232","61%","28","67","63%","1","74","106","118"
"197",5,"Dejan Jakovic","245",18,"1363","14","5","4","1","0","1","2","0","2","1","0","0","0","706","90%","1","0","0","38","16","117","10","0.32","139","70%","42","37","54%","18","38","95","105"
"198",23,"Maikel Van Der Werff","245",13,"1053","11","2","2","0","0","2","2","0","7","2","0","0","0","612","91%","3","0","0","36","9","91","10","1.02","155","63%","23","55","71%","5","29","76","57"
"199",36,"Joe Gyau","245",22,"2022","21","4","1","1","0","3","4","0","22","8","0","0","0","717","84%","12","40","25%","152","42","60","17","1.63","357","49%","263","59","29%","124","44","53","96"
"200",14,"W. Francis","245",5,"224","2","1","3","0","0","0","0","0","0","0","0","0","0","90","83%","2","6","50%","10","0","11","3","0","19","74%","2","6","83%","0","2","8","11"
"201",13,"E. Finlay","245",20,"1515","18","11","2","4","2","3","0","0","25","13","0","0","0","365","78%","16","20","40%","88","16","31","7","3.9","241","47%","133","40","38%","30","66","42","67"
"202",3,"A. Lundqvist","245",21,"1944","21","6","0","0","0","4","3","0","4","1","0","0","0","1056","81%","24","89","33%","113","40","118","24","0.09","276","57%","84","48","46%","43","85","122","107"
"203",2,"A. Fuenmayor","245",5,"334","3","1","2","0","0","0","1","0","1","1","0","0","0","171","86%","0","0","0","18","6","27","6","0.14","48","65%","9","15","53%","3","5","24","19"
"204",4,"Anton Walkes","245",17,"1458","15","1","2","0","0","0","2","0","7","3","0","0","0","993","91%","1","4","0","53","13","85","6","0.96","134","66%","25","40","63%","9","27","75","91"
"205",27,"Kamal Miller","245",14,"1021","10","3","4","0","0","0","3","0","4","0","0","0","0","673","87%","1","2","0","63","21","80","16","0.17","153","62%","55","40","68%","35","35","75","68"
"206",14,"Djordje Mihailovic","245",16,"1027","12","9","4","2","6","1","1","0","20","7","0","0","0","440","79%","17","11","36%","82","9","33","13","2.6","135","53%","82","22","41%","40","30","47","71"
"207",3,"E. Insúa","244",22,"1990","22","7","0","0","2","0","2","0","2","0","0","0","0","961","83%","8","63","30%","99","21","134","34","0.1","255","64%","82","28","64%","42","101","89","121"
"208",13,"M. Mancienne","244",7,"354","4","2","3","0","0","0","1","0","1","0","0","0","0","151","91%","0","0","0","4","1","25","2","0.14","41","71%","5","15","60%","0","9","23","21"
"209",4,"Roberto Puncec","244",23,"2154","21","0","2","0","1","0","2","0","5","2","0","0","0","1046","90%","0","1","0","46","12","145","17","0.96","224","60%","33","81","56%","9","49","106","119"
"210",11,"Albert Rusnak","244",17,"1464","16","4","1","3","2","1","0","0","32","12","3","2","67%","697","84%","11","18","39%","83","11","21","10","5.5","141","44%","102","22","23%","42","17","17","72"
"211",23,"Kacper Przybylko","244",26,"2425","26","8","0","8","6","18","2","0","57","32","1","1","100%","687","77%","27","28","18%","213","32","30","16","11","368","43%","300","169","48%","43","32","65","71"
"212",22,"Erik Fernando Godoy","244",12,"1010","11","2","1","0","0","0","0","1","0","0","0","0","0","491","90%","3","0","0","33","16","77","10","0","96","72%","33","27","70%","10","16","79","50"
"213",30,"R. Quioto","244",21,"1768","19","7","2","9","5","16","2","1","54","27","0","0","0","510","80%","25","37","35%","194","34","18","7","7","304","35%","265","72","46%","64","12","24","20"
"214",8,"Randall Leal Arle","244",24,"1947","22","16","2","4","4","5","2","0","42","18","0","0","0","780","79%","19","32","28%","187","32","72","20","1.89","361","42%","228","66","32%","88","72","54","148"
"215",53,"Ali Adnan","244",23,"2035","21","5","2","2","4","3","2","0","16","6","0","0","0","985","77%","13","51","18%","175","41","120","25","0.67","319","57%","151","73","70%","67","94","120","114"
"216",11,"Gyasi Zardes","244",26,"2314","25","12","1","15","5","27","1","0","56","33","3","0","0","427","74%","11","3","0","256","54","24","4","15","496","37%","413","256","42%","33","23","56","56"
"217",33,"Mikey Ambrose","244",7,"420","4","3","3","1","0","0","0","0","1","1","0","0","0","175","86%","2","9","44%","13","1","22","2","0.03","32","66%","10","13","69%","5","6","15","31"
"218",6,"In0Beom Hwang","244",6,"591","6","1","0","0","1","0","0","0","5","1","0","0","0","313","84%","5","1","0","40","9","17","5","0.19","58","52%","27","10","50%","8","17","34","40"
"219",2,"Daniel Lovitz","244",24,"2349","24","0","0","1","2","0","6","0","9","2","0","0","0","1286","77%","11","68","26%","179","41","156","27","0.59","301","60%","94","72","63%","55","74","131","158"
"220",17,"Jeremy Ebobisse","244",23,"1483","15","11","8","9","3","3","0","0","39","18","1","1","100%","369","77%","7","6","16%","124","15","26","11","5.2","232","42%","189","79","40%","43","22","28","63"
"221",24,"Kyle Smith","244",22,"1376","13","4","9","0","1","1","2","0","9","5","1","1","100%","773","82%","6","32","47%","87","23","104","19","0.73","210","60%","61","57","63%","22","74","72","100"
"222",24,"DeJuan Lytelle Jones","244",23,"1601","17","6","6","0","1","0","2","0","10","5","0","0","0","968","81%","13","44","25%","140","35","124","30","0.42","285","53%","107","53","53%","70","73","131","109"
"223",13,"S. Vines","244",19,"1768","18","0","1","1","3","1","0","0","3","1","0","0","0","871","86%","15","33","21%","100","28","70","14","0.61","169","54%","71","30","50%","37","41","68","79"
"224",12,"L. Díaz","244",26,"1610","18","16","8","0","5","8","5","0","39","17","0","0","0","348","70%","31","52","13%","121","18","48","18","2.9","270","46%","193","38","24%","99","47","57","77"
"225",20,"Nick DePuy","243",16,"1505","15","0","1","0","1","0","4","0","7","3","0","0","0","605","85%","2","0","0","44","15","136","12","0.87","178","67%","38","46","63%","4","33","122","93"
"226",33,"S. Ibeagha","243",8,"358","2","1","6","0","0","0","2","0","0","0","0","0","0","131","88%","0","1","0","6","2","26","3","0","47","70%","6","14","86%","3","12","27","13"
"227",96,"Luis Felipe","243",5,"212","2","1","3","0","0","0","0","0","1","1","0","0","0","89","91%","0","0","0","10","0","14","2","0.04","40","63%","17","10","70%","3","15","10","11"
"228",11,"H. Mosquera","243",13,"458","5","5","8","4","0","4","0","0","17","10","0","0","0","181","73%","4","16","6%","50","11","10","3","2.4","83","46%","55","11","36%","26","13","10","27"
"229",24,"Frankie Amaya","243",22,"1911","22","8","0","1","0","0","7","0","20","5","0","0","0","935","88%","6","5","60%","108","39","81","18","0.87","270","60%","115","26","50%","52","90","78","98"
"230",12,"Alistair Johnston","243",21,"1771","18","3","3","0","0","0","4","1","4","3","0","0","0","900","81%","9","50","32%","119","21","102","16","0.31","222","58%","70","33","52%","31","76","97","100"
"231",29,"Roman Torres","242",10,"420","4","0","6","0","0","0","0","1","4","0","0","0","0","156","82%","1","0","0","12","7","36","2","0.64","45","71%","6","26","73%","0","8","26","29"
"232",13,"Frederic Brillant","242",19,"1842","18","2","1","2","0","0","5","1","4","2","0","0","0","870","87%","1","4","50%","56","21","124","8","0.29","196","63%","23","68","71%","3","66","152","94"
"233",15,"J. Corona","242",16,"1029","12","9","4","1","0","0","2","1","9","6","0","0","0","597","84%","4","12","33%","60","12","62","18","1.3","193","48%","87","31","58%","35","53","71","84"
"234",9,"Nicolas Benezet","242",13,"582","5","5","8","0","1","3","1","0","12","3","0","0","0","318","81%","9","15","20%","71","14","20","4","1.57","111","51%","82","5","20%","46","15","13","36"
"235",2,"Boris Sekulic","242",21,"1961","21","7","0","2","2","4","3","0","10","4","0","0","0","982","85%","12","37","41%","90","19","106","19","1.39","215","57%","87","59","63%","33","35","103","90"
"236",22,"Florian Valot","242",24,"1682","18","11","6","2","2","0","1","0","26","6","0","0","0","924","78%","22","35","23%","162","31","73","28","1.98","325","52%","184","51","61%","72","83","112","158"
"237",15,"S. Birnbaum","242",10,"1000","10","0","0","0","1","0","1","0","5","0","0","0","0","528","91%","3","1","100%","34","9","71","15","0.7","148","61%","42","84","62%","1","14","75","52"
"238",10,"M. Moreno","242",6,"490","5","2","1","2","1","0","0","0","15","6","2","2","100%","280","86%","4","6","33%","53","5","7","2","2.1","94","41%","71","5","60%","29","13","4","19"
"239",19,"Janio Bikel","242",12,"1008","12","4","0","0","0","0","5","1","0","0","0","0","0","398","86%","0","2","0","48","20","48","11","0","142","56%","55","16","38%","19","44","47","67"
"240",5,"Luis Binks","242",23,"2099","22","1","1","0","0","1","7","1","7","1","0","0","0","1023","87%","2","0","0","77","28","164","21","0.96","255","67%","46","105","60%","17","43","182","97"
"241",2,"Perry Kitchen","241",21,"1829","19","2","2","0","0","0","6","0","2","1","0","0","0","699","88%","0","0","0","36","12","119","37","0.06","240","62%","69","52","65%","20","91","104","133"
"242",9,"Justin Meram","241",22,"1237","13","12","9","3","3","3","1","0","18","10","0","0","0","495","75%","26","29","17%","167","37","32","13","2.4","295","38%","203","59","30%","103","57","40","64"
"243",24,"D. Cerén","241",20,"1635","18","8","2","1","2","1","3","0","12","5","1","1","100%","827","86%","4","7","29%","94","22","98","31","1.23","226","51%","96","46","43%","25","61","93","132"
"244",9,"Fafa Picault","241",20,"1297","13","11","7","3","1","2","2","0","21","8","0","0","0","449","73%","20","50","32%","145","26","29","8","1.88","253","40%","179","57","42%","69","45","37","69"
"245",11,"P. Frankowski","241",19,"1582","16","6","3","3","1","1","1","0","26","15","0","0","0","634","78%","22","53","26%","140","20","50","19","4.2","254","40%","162","41","37%","40","57","53","68"
"246",5,"Daniel Steres","241",20,"1914","20","0","0","1","0","2","3","0","7","3","0","0","0","802","85%","3","0","0","69","27","138","14","1.4","182","67%","28","77","66%","6","44","121","107"
"247",21,"Fabian Herbers","241",21,"1454","18","16","3","4","1","2","6","0","29","10","0","0","0","594","80%","17","23","30%","121","32","45","26","4.1","252","46%","149","54","48%","36","56","58","102"
"248",32,"Matthew Real","241",15,"697","5","3","10","1","1","0","2","0","7","2","0","0","0","348","76%","8","29","14%","64","11","40","5","0.19","84","64%","27","11","73%","13","30","50","38"
"249",11,"Khiry Shelton","241",23,"1873","20","7","3","5","2","10","4","0","32","15","1","1","100%","501","78%","15","17","24%","173","17","36","13","7","410","42%","305","124","42%","75","41","55","73"
"250",15,"James Tanner Beason","241",9,"856","9","0","0","0","0","1","1","0","5","1","0","0","0","496","84%","0","0","0","53","29","80","7","0.36","118","64%","15","43","60%","4","30","66","55"
"251",15,"Tanner Tessmann","241",21,"1255","10","4","11","0","1","0","0","0","17","3","1","1","100%","629","85%","3","5","20%","88","23","61","15","0.51","179","54%","75","33","58%","36","53","54","102"
"252",21,"George Bello","241",20,"1750","19","6","1","1","1","1","2","0","8","2","0","0","0","908","87%","8","38","16%","97","35","89","18","0.65","245","58%","111","39","46%","57","61","58","84"
"253",6,"Samuel Piette","240",23,"2169","23","6","0","1","1","0","3","1","22","8","0","0","0","935","83%","12","15","40%","143","35","78","30","2.3","292","55%","132","37","62%","30","81","70","133"
"254",19,"E. Castillo","240",4,"170","1","2","3","0","0","1","0","0","2","1","0","0","0","92","85%","1","3","67%","15","5","14","5","0.13","24","63%","9","2","100%","6","10","13","12"
"255",4,"Zarek Chase Valentin","240",19,"1756","18","0","1","0","3","0","0","0","3","0","0","0","0","1015","83%","7","27","37%","87","25","124","26","0.23","199","61%","43","51","65%","13","66","113","111"
"256",11,"C. Dajome","240",24,"1825","19","11","5","3","3","2","3","0","28","12","1","0","0","584","78%","20","41","19%","155","25","55","13","1.95","319","46%","205","55","40%","65","67","48","65"
"257",8,"J. Méndez","240",23,"1522","15","11","8","0","1","1","4","1","21","4","0","0","0","965","92%","5","3","33%","70","23","78","17","1.8","248","48%","93","28","39%","33","95","48","102"
"258",22,"Matias Gabriel Vera","240",20,"1811","20","3","0","0","0","0","7","1","8","2","0","0","0","980","92%","5","0","0","52","13","92","31","0.5","250","48%","86","42","45%","32","93","106","112"
"259",12,"Niko Hansen","240",17,"775","8","8","9","2","2","3","0","0","16","6","0","0","0","234","72%","10","27","19%","78","21","25","9","2.2","134","39%","110","19","37%","61","15","18","46"
"260",8,"F. Ginella","240",25,"1305","14","10","11","1","3","0","3","0","10","5","1","1","100%","794","84%","14","3","0","96","22","47","14","0.72","172","52%","70","30","47%","26","58","54","114"
"261",25,"Ilsinho","239",25,"843","2","2","23","3","3","2","2","0","12","4","0","0","0","476","89%","15","6","17%","71","4","17","7","1.33","172","45%","131","21","38%","73","23","17","51"
"262",8,"Blaise Matuidi","239",16,"1457","15","2","1","1","0","1","2","0","13","3","0","0","0","797","90%","10","8","50%","66","17","60","23","0.65","208","52%","90","44","50%","28","57","57","81"
"263",12,"Fredy Montero Munoz","239",16,"1133","11","8","5","5","2","1","2","0","32","13","2","2","100%","512","73%","25","35","31%","137","19","18","9","5","214","44%","158","54","43%","31","31","18","44"
"264",25,"Everton Luiz","239",15,"1054","12","5","3","0","0","0","1","0","3","0","0","0","0","422","89%","2","0","0","45","13","55","22","0.2","152","58%","78","22","55%","47","34","55","68"
"265",20,"A. DeLaGarza","239",6,"541","6","1","0","0","0","1","0","0","0","0","0","0","0","223","86%","1","1","0","25","6","33","5","0","54","61%","7","24","54%","1","10","22","36"
"266",6,"William Trapp","239",22,"1520","17","11","5","0","0","0","5","0","6","2","0","0","0","836","88%","2","1","0","63","28","101","34","0.26","198","60%","58","43","51%","17","62","78","108"
"267",8,"Matthew Ryan Polster","239",19,"1191","12","5","7","0","1","0","5","1","2","1","0","0","0","663","89%","3","7","29%","48","9","72","23","0.1","164","58%","57","44","70%","21","45","62","98"
"268",33,"Aaron Long","239",17,"1532","16","2","1","2","0","0","5","0","7","4","0","0","0","601","80%","3","2","100%","41","14","155","19","1.13","203","71%","25","105","75%","3","28","140","121"
"269",21,"A. Perea","239",28,"1494","11","2","17","0","2","0","5","0","16","3","1","1","100%","665","87%","9","8","25%","88","25","60","17","1.7","229","52%","105","48","52%","33","64","64","96"
"270",11,"V. Castellanos","239",25,"1773","17","7","8","7","3","16","8","0","77","39","3","3","100%","402","75%","22","7","29%","234","34","20","14","11","476","33%","376","156","38%","71","40","25","50"
"271",22,"Julian Vincente Araujo","239",17,"1344","17","8","0","1","2","0","6","2","9","4","0","0","0","585","76%","13","43","21%","127","18","90","26","0.9","278","52%","136","58","50%","54","73","74","86"
"272",16,"H. Jiménez","238",10,"463","4","2","6","0","1","0","1","0","1","0","0","0","0","235","84%","5","6","33%","21","7","24","4","0.03","52","54%","8","15","47%","3","11","28","17"
"273",18,"Nicholas DeLeon","238",23,"1129","11","11","12","1","2","5","2","0","22","5","0","0","0","427","81%","12","14","7%","99","24","37","17","1.79","189","51%","127","34","47%","48","33","43","41"
"274",4,"Rudy Camacho","238",15,"1380","15","1","0","1","1","0","2","1","6","1","0","0","0","778","87%","3","3","0","61","30","132","20","0.71","160","60%","33","64","55%","7","33","121","106"
"275",26,"John Nelson","238",13,"916","10","4","3","0","1","0","0","0","2","1","0","0","0","442","84%","4","11","27%","54","25","44","11","0.1","106","50%","32","30","23%","20","30","49","50"
"276",7,"I. Aliseda","238",20,"1507","16","6","4","1","1","2","1","0","23","8","0","0","0","389","88%","14","9","22%","94","27","29","11","2.4","259","39%","190","36","22%","71","26","35","52"
"277",3,"A. Reyes","238",13,"1197","13","3","0","0","0","0","7","2","6","3","0","0","0","410","88%","1","1","0","34","18","99","11","0.55","172","62%","37","59","56%","7","36","69","76"
"278",9,"Gonzalo Higuain","237",9,"849","9","3","0","1","2","8","0","0","33","10","1","0","0","279","83%","8","4","0","66","10","5","0","4.5","118","35%","89","21","19%","17","17","9","20"
"279",9,"Bojan","237",19,"1393","16","10","3","4","2","4","0","0","26","15","1","1","100%","526","81%","14","15","13%","116","20","23","6","2.8","199","44%","164","11","27%","90","19","31","59"
"280",11,"Alejandro Bedoya","237",24,"2270","24","7","0","3","3","7","10","0","31","14","0","0","0","1201","83%","14","37","30%","170","18","90","30","3.1","328","45%","168","110","45%","13","82","109","132"
"281",3,"Tom Pettersson","237",16,"1333","14","3","2","0","0","0","1","0","6","1","0","0","0","766","92%","1","0","0","37","14","100","7","1.18","180","61%","25","65","65%","7","28","87","61"
"282",10,"T. Bunbury","237",27,"1866","23","16","4","8","1","10","3","0","39","12","0","0","0","592","79%","9","18","17%","178","25","58","17","4.8","377","46%","275","128","43%","54","43","75","64"
"283",8,"Jordy Jose Delem","237",18,"803","9","7","9","0","0","0","2","0","4","0","0","0","0","370","89%","3","0","0","25","7","45","15","0.32","69","71%","23","18","67%","3","15","42","59"
"284",20,"Emerson Hyndman","237",20,"1488","16","7","4","2","1","1","2","0","12","6","0","0","0","799","92%","13","3","33%","73","11","45","14","0.5","180","43%","90","26","31%","35","40","49","80"
"285",19,"Paxton Pomykal","237",5,"173","1","1","4","1","0","0","1","0","1","1","0","0","0","91","87%","2","5","40%","15","3","6","1","0.19","31","55%","20","9","44%","10","7","6","7"
"286",18,"Jeff Larentowicz","236",19,"1225","11","4","8","2","0","0","2","0","6","2","1","1","100%","583","89%","0","4","50%","42","15","75","24","1.43","155","56%","42","38","55%","6","45","63","72"
"287",2,"Justin Morrow","236",15,"1034","11","5","4","0","0","0","1","0","6","2","0","0","0","565","86%","5","20","35%","48","19","65","14","0.68","139","51%","49","33","42%","13","43","49","64"
"288",4,"Donald Toia","236",21,"1825","20","3","1","0","0","0","4","0","6","0","0","0","0","1059","79%","8","35","14%","119","27","126","20","0.17","247","60%","46","61","66%","26","86","130","99"
"289",6,"W. Zahibo","236",8,"410","4","3","4","0","0","1","2","0","1","0","0","0","0","188","85%","0","0","0","25","12","23","8","0.03","64","63%","23","18","72%","6","15","14","26"
